FName,LName,AreaCode,Phone,City,State,Zip,MaritalStatus,HasChild,Salary,RateDOUBLE,SingleExemp,ChildExemp
Rafiul,Armando,985,199-1437,DODSON,LA,71422,M,N,86000,6,0,0
Xiangzhen,Inamori,502,109-1856,LOUISVILLE,KY,40211,S,N,49000,4.5555553,20,0
Sudhanshu,Crouch,301,137-1798,SILVER SPRING,MD,20914,M,N,32000,4.75,0,0
Daigo,Wijk,913,155-2069,AURORA,KS,67417,M,Y,68000,6.45,0,2250
Mrinalini,Elustondo,401,192-1205,CENTRAL FALLS,RI,2863,S,N,18500,0,0,0
Breck,Armstead,805,140-1589,YETTEM,CA,93670,M,N,59000,9.3,0,0
Jai,Varker,307,178-1103,HAWK SPRINGS,WY,82217,S,N,25500,0,0,0
Kabekode,Broadwell,302,105-1851,LITTLE CREEK,DE,19961,M,Y,98000,5.95,0,110
Gunilla,Grom,251,150-1394,DELTA,AL,36258,M,N,64500,5,0,0
Masoud,Rauzy,308,149-1732,BREWSTER,NE,68821,M,N,94000,6.84,0,0
Hideyuki,Mozeico,919,122-1903,SALISBURY,NC,28145,M,N,76500,7.337413,0,0
Kyung,Buescher,401,179-1384,LA VETA,WV,2908,M,Y,54000,0,0,0
Lihong,Miremadi,901,174-1735,WHITE HOUSE,TN,37188,S,Y,49500,0,0,0
Venkateswarlu,Laudwein,971,131-1494,PORTLAND,OR,97255,S,N,43000,9,159,0
Guang,Westmeier,651,196-1333,GRANADA,MN,56039,M,N,72000,7.85,0,0
Nabiel,Buescher,754,173-1050,HUDSON,FL,34667,M,N,5500,0,0,0
Carsten,Belt,801,129-1402,SANDY,UT,84091,M,N,26500,7,0,0
Riadh,Mourlas,505,197-1429,WHITES CITY,NM,88268,S,Y,1500,1.7,3300,3300
Dimitris,Heilandt,715,132-1340,RACINE,WI,53405,M,Y,72500,5.7061014,0,400
Kailasam,Setlzner,916,161-1284,TULARE,CA,93274,M,Y,99000,9.3,0,272
Aysegul,Gennip,703,158-1016,MC KENNEY,VA,23872,M,N,73000,5.75,0,0
Manjai,Colignon,318,136-1014,NEW ORLEANS,LA,70187,M,Y,46500,6,0,1000
Bowden,Brender,913,105-1642,GOODLAND,KS,67735,S,Y,17000,3.8933334,2250,2250
Masashi,Chitil,603,135-1582,ROCHESTER-typoHARTMAN,WV,3866,S,N,18000,0,0,0
Huseyin,Vendrig,260,193-1460,NOTRE DAME,IN,46556,M,Y,25000,3.4,0,1000
Lissa,Grigsby,303,130-1781,AGATE,CO,80101,S,N,62000,4.63,0,0
Branka,Fayolle,617,156-1170,SOUTHAMPTON,MA,1073,S,Y,79500,5.3,3575,1000
Erich,Kayton,307,125-1435,FRONTIER,WY,83121,S,N,59000,0,0,0
Wendie,Loganantharaj,787,106-1904,SAN JUAN,PR,907,S,Y,47500,0,0,0
Maddalena,Sarangdhar,217,191-1231,VILLA PARK,IL,60181,S,Y,96500,3,2000,2000
Mohit,Simov,947,196-1931,MACOMB,MI,48044,S,N,26500,3.9,3100,0
Guntis,Melichar,603,106-1850,MADBURY,NH,3823,S,N,32500,0,0,0
Angel,Skronn,339,188-1550,IPSWICH,MA,1938,M,N,5000,5.3,0,0
Yunfa,Bedard,712,112-1121,NORTH FORT MYERS,MI,50321,M,Y,96000,8.98,0,40
Takenobu,Eustace,702,133-1697,DAYTON,NV,89403,M,N,31000,0,0,0
Lina,Ziauddin,770,138-2034,BROOKLET,GA,30415,S,N,85500,6,2700,0
Harriet,Deen,787,142-1249,AGUADA,PR,602,M,N,77000,0,0,0
Diederik,Iuchi,913,105-1295,POWHATTAN,KS,66527,S,Y,53500,6.45,2250,2250
Anurag,Susaki,304,144-1536,WHITE SULPHUR SPRINGS,WV,24986,S,Y,61000,6.5,2000,2000
Vince,Claessen,860,155-1474,WATERBURY,CT,6721,M,Y,92500,5,0,0
Mimi,Leishman,505,161-1383,WATERFLOW,NM,87421,S,N,56000,5.3,3300,0
Houari,Hooman,781,169-1854,BOSTON,MA,2114,M,N,79000,5.3,0,0
Sunggu,Relihan,775,103-1444,RENO,NV,89570,S,N,91000,0,0,0
Yali,Pordesch,651,169-1464,LEWISVILLE,MN,56060,M,Y,58000,7.3505335,0,3300
Sergi,Artola,845,193-1534,TRIBES HILL,NY,12177,S,N,10000,4.011585,0,0
Vasken,Shanbhogue,502,136-2066,ANNVILLE,KY,40402,S,Y,93000,6,20,20
Kaivalya,Rudisin,620,151-1436,HOPE,KS,67451,M,Y,24500,5.3683333,0,2250
Jin,Bozinovic,989,107-1527,SAINT JOHNS,MI,48879,S,Y,98500,3.9,3100,3100
